460100102,广播,海口音乐广播(FM91.6),地级,中国,,,,,,交通音乐,音乐,,460100,
500000104,广播,重庆之声广播(FM96.8),省级,中国,,,,,,新闻综合,,,500000,
500000105,广播,重庆经济广播(FM101.5),省级,中国,,,,,,经济生活,经济,,500000,
510000101,广播,四川新闻广播(FM98.1 AM1116),省级,中国,,,,,,新闻综合,新闻,,510000,
510000102,广播,四川教育广播-未查到该广播,省级,中国,,,,,,其他,教育,,510000,
510000103,广播,四川经济民生广播(FM89.4),省级,中国,,,,,,经济生活,经济民生,,510000,
510100103,广播,成都交通文艺广播(FM91.4),地级,中国,,,,,,交通音乐,交通文艺,,510100,
510100104,广播,成都唯一音乐广播(FM103.2),地级,中国,,,,,,交通音乐,音乐,,510100,
520000101,广播,贵州交通广播(FM95.2),省级,中国,,,,,,交通音乐,交通,,520000,
520000102,广播,贵州经济广播(FM98.9),省级,中国,,,,,,经济生活,经济,,520000,
520000103,广播,贵州旅游广播绿色972(FM97.2),省级,中国,,,,,,其他,旅游,,520000,
530000106,广播,云南新闻广播(FM105.8 AM576),省级,中国,,,,,,新闻综合,新闻,,530000,
530000107,广播,云南人民广播电台娱乐之声,省级,中国,,,,,,综艺文化,娱乐,,530000,
530100102,广播,昆明NEWFM102.8广播(FM102.8),地级,中国,,,,,,综艺文化,文艺旅游,汉语,530100,
610000101,广播,陕西新闻广播(FM106.6 AM693),省级,中国,,,,,,新闻综合,新闻,,610000,
610000102,广播,陕西故事广播(AM609),省级,中国,,,,,,其他,故事,,610000,
610000103,广播,陕西经济广播896汽车调频广播(FM89.6),省级,中国,,,,,,经济生活,经济,,610000,
610000108,广播,陕西交通广播(FM91.6),省级,中国,,,,,,交通音乐,交通,,610000,
610000110,广播,陕西农村广播(AM900),省级,中国,,,,,,其他,农村,,610000,
610100101,广播,西安新闻广播(FM95 AM810),地级,中国,,,,,,新闻综合,新闻,,610100,
610100102,广播,西安音乐广播(FM93.1),地级,中国,,,,,,交通音乐,音乐,,610100,
610100104,广播,西安私家车广播(FM106.1),地级,中国,,,,,,社会服务,资讯城市,,610100,
620000103,广播,甘肃交通广播(FM103.5),省级,中国,,,,,,交通音乐,交通,,620000,
620000104,广播,甘肃都市调频经典音乐广播(FM102.2),省级,中国,,,,,,交通音乐,都市,汉语,620000,
620000106,广播,甘肃经济广播动感934高速广播(FM93.4),省级,中国,,,,,,经济生活,经济,汉语,620000,
620100101,广播,兰州新闻广播(FM97.3 AM954),地级,中国,,,,,,新闻综合,综合,,620100,
620100102,广播,兰州生活文艺私家车广播(FM100.8),地级,中国,,,,,,经济生活,生活文艺私家车,,620100,
110000103,广播,北京音乐广播(FM97.4),省级,中国,,,,,,交通音乐,音乐,,110000,
110000106,广播,北京外语广播(FM97.8 AM774),省级,中国,,,,,,其他,,,110000,
110000108,广播,北京古典音乐有线广播(FM98.6),省级,中国,,,,,,交通音乐,音乐,,110000,
120000101,广播,天津交通广播(FM106.8),省级,中国,,,,,,交通音乐,交通,,120000,
120000104,广播,天津经济广播(FM101.4 AM1071),省级,中国,,,,,,经济生活,经济,,120000,
120000106,广播,天津滨海广播(FM87.8 AM747),省级,中国,,,,,,其他,,,120000,
120000107,广播,天津小说广播(AM666),省级,中国,,,,,,综艺文化,小说,,120000,
120000108,广播,天津北方调频广播(FM97.3),省级,中国,,,,,,其他,,,120000,
130000102,广播,河北经济广播(FM107.9),省级,中国,,,,,,经济生活,经济,,130000,
130000103,广播,河北交通广播(FM99.2),省级,中国,,,,,,交通音乐,交通,,130000,
130000104,广播,河北文艺广播私家车907(FM90.7),省级,中国,,,,,,综艺文化,文艺,,130000,
130100101,广播,石家庄新闻综合广播(FM88.2 AM882),地级,中国,,,,,,新闻综合,新闻综合,,130100,
130100102,广播,石家庄经济广播(FM100.9 AM1431),地级,中国,,,,,,经济生活,经济,,130100,
130100103,广播,石家庄音乐广播(FM106.7),地级,中国,,,,,,交通音乐,音乐,,130100,
130100104,广播,石家庄交通广播(FM94.6),地级,中国,,,,,,交通音乐,交通,,130100,
130600101,广播,保定新闻广播(FM93.7 AM1467),地级,中国,,,,,,新闻综合,新闻,,130600,
130600104,广播,保定城市服务广播(FM101.6),地级,中国,,,,,,社会服务,城市服务,,130600,
131000101,广播,廊坊新闻综合广播畅行951(FM95.1 AM846),地级,中国,,,,,,新闻综合,新闻综合畅行,,131000,
140000101,广播,山西综合广播(FM90.4 AM819),省级,中国,,,,,,新闻综合,综合,,140000,
140000102,广播,山西健康之声广播(FM105.9),省级,中国,,,,,,其他,健康,,140000,
140000104,广播,山西文艺广播(FM101.5),省级,中国,,,,,,综艺文化,文艺,,140000,
140000106,广播,山西经济广播(FM95.8),省级,中国,,,,,,经济生活,经济,,140000,
140100102,广播,太原交通广播(FM107),地级,中国,,,,,,交通音乐,交通,,140100,
140100103,广播,太原生活广播,地级,中国,,,,,,经济生活,生活,,140100,
411608101,广播,太康人民广播电台,县级,中国,,,,,,新闻综合,,,411608,
140900102,广播,忻州交通广播(FM96.1),地级,中国,,,,,,交通音乐,交通,,140900,
150000101,广播,内蒙古交通之声-删,省级,中国,,,,,,交通音乐,交通,,150000,
150000102,广播,内蒙古蒙语广播,省级,中国,,,,,,其他,,,150000,
150000103,广播,内蒙古交通之声(FM105.6),省级,中国,,,,,,交通音乐,交通,,150000,
150000104,广播,内蒙古人民广播电台城市之声,省级,中国,,,,,,其他,城市,,150000,
150000105,广播,内蒙古音乐之声广播(FM93.6),省级,中国,,,,,,交通音乐,音乐,,150000,
150100102,广播,呼和浩特交通广播(FM107.4),地级,中国,,,,,,交通音乐,交通,,150100,
150100103,广播,呼和浩特城市生活广播(FM90.1),地级,中国,,,,,,经济生活,城市生活,,150100,
210000101,广播,辽宁新闻广播(录制频率FM88.8),省级,中国,,,,,,新闻综合,新闻,,210000,
210000102,广播,辽宁经济广播(FM88.8 AM999),省级,中国,,,,,,经济生活,经济,,210000,
210000103,广播,沈阳生活广播(FM90.4 FM103.4 AM882),地级,中国,,,,,,经济生活,生活,汉语,210100,
210000104,广播,辽宁人民广播电台信息频道,省级,中国,,,,,,其他,信息,,210000,
210000105,广播,辽宁文艺广播(FM95.9),省级,中国,,,,,,综艺文化,文艺,,210000,
210100103,广播,沈阳文艺广播,地级,中国,,,,,,综艺文化,文艺,,210100,
210100104,广播,沈阳交通广播(FM98.6),地级,中国,,,,,,交通音乐,交通,,210100,
210100105,广播,沈阳体育休闲广播,地级,中国,,,,,,其他,体育休闲,,210100,
210100106,广播,沈阳娱乐广播,地级,中国,,,,,,综艺文化,娱乐,,210100,
220000102,广播,吉林人民广播电台大众生活广播,省级,中国,,,,,,经济生活,大众生活,,220000,
220000103,广播,吉林省交通广播(FM103.8),省级,中国,,,,,,交通音乐,交通,,220000,
220000104,广播,吉林人民广播电台东北亚音乐广播,省级,中国,,,,,,交通音乐,音乐,,220000,
220000105,广播,吉林省资讯广播(FM100.1),省级,中国,,,,,,其他,资讯,,220000,
220100103,广播,长春人民广播电台评书故事广播,地级,中国,,,,,,综艺文化,评书故事,,220100,
220100106,广播,长春音乐台,地级,中国,,,,,,交通音乐,音乐,,220100,
230000101,广播,黑龙江新闻广播(FM94.6 AM621),省级,中国,,,,,,新闻综合,新闻,,230000,
411405101,广播,柘城县人民广播电台,县级,中国,,,,,,新闻综合,,,411405,
230000103,广播,黑龙江交通广播(FM99.8),省级,中国,,,,,,交通音乐,交通,,230000,
230100101,广播,哈尔滨新闻综合广播(FM106.2 AM837),地级,中国,,,,,,新闻综合,新闻综合,汉语,230100,
230100102,广播,哈尔滨文艺广播(FM98.4),地级,中国,,,,,,综艺文化,文艺,,230100,
230100103,广播,哈尔滨经济广播(FM87.6 AM972),地级,中国,,,,,,经济生活,经济,,230100,
230100105,广播,哈尔滨城市之声广播(FM105.6),地级,中国,,,,,,其他,城市,,230100,
230600102,广播,大庆长书广播(FM90.9),地级,中国,,,,,,综艺文化,长书,,230600,
230600103,广播,大庆综合广播(FM97.5),地级,中国,,,,,,新闻综合,综合,,230600,
230508101,广播,饶河县人民广播电台,县级,中国,,,,,,新闻综合,,,230508,
371300104,广播,临沂新闻综合广播(FM97.6 AM873),地级,中国,,,,,,新闻综合,新闻综合,,371300,
130406101,广播,永年县人民广播电台(FM105.4),县级,中国,,,,,,新闻综合,,,130406,
511700101,广播,达州综合广播(FM102.2 FM106),地级,中国,,,,,,新闻综合,综合,,511700,
511700102,广播,达州交通音乐广播(FM102.9),地级,中国,,,,,,交通音乐,,汉语,511700,
430400101,广播,衡阳新闻广播(FM98.9),地级,中国,,,,,,新闻综合,新闻,,430400,
430400102,广播,衡阳交通广播(FM101.8),地级,中国,,,,,,交通音乐,交通,,430400,
320000104,广播,江苏人民广播电台音乐台(欢乐调频),省级,中国,,,,,,交通音乐,音乐,,320000,
320100103,广播,南京音乐广播悦动1058(FM105.8),地级,中国,,,,,,交通音乐,音乐,汉语,320100,
320100105,广播,南京经济广播(FM98.1 AM900),地级,中国,,,,,,经济生活,经济,,320100,
330000104,广播,浙江音乐广播动听968(FM96.8),省级,中国,,,,,,交通音乐,音乐生活,,330000,
330100101,广播,杭州之声广播(FM89),地级,中国,,,,,,新闻综合,新闻,汉语,330100,
330100102,广播,杭州交通经济广播(FM91.8),地级,中国,,,,,,交通音乐,交通经济,,330100,
340000102,广播,安徽之声新闻综合广播(FM103.6 AM936),省级,中国,,,,,,新闻综合,新闻综合,汉语,340000,
340000103,广播,安徽人民广播电台妇女儿童广播,省级,中国,,,,,,其他,妇女儿童,,340000,
350000101,广播,福建新闻广播(FM103.6),省级,中国,,,,,,新闻综合,新闻,,350000,
350000104,广播,福建都市广播,省级,中国,,,,,,其他,都市,,350000,
360000101,广播,江西综合新闻广播(FM104.4 AM729),省级,中国,,,,,,新闻综合,综合新闻,,360000,
360000102,广播,江西都市之声广播(FM106.5),省级,中国,,,,,,其他,都市,,360000,
360100102,广播,南昌经济生活大眼睛广播(FM89.7),地级,中国,,,,,,经济生活,经济生活,,360100,
360100103,广播,南昌精英广播(FM90.6),地级,中国,,,,,,其他,精英,,360100,
411300101,广播,南阳交通广播(FM97.7 FM101),地级,中国,,,,,,交通音乐,交通,,411300,
411300104,广播,南阳综合广播(FM93.6 AM585),地级,中国,,,,,,新闻综合,综合,,411300,
350500101,广播,泉州新闻广播(FM88.9),地级,中国,,,,,,新闻综合,新闻,,350500,
611000101,广播,商洛新闻广播(FM107),地级,中国,,,,,,新闻综合,新闻,,611000,
611000102,广播,商洛交通生活广播(FM98.3),地级,中国,,,,,,交通音乐,交通生活,,611000,
540100101,广播,拉萨人民广播电台(FM91.4),地级,中国,,,,,,新闻综合,,,540100,
150900101,广播,乌兰察布汉语综合广播(FM99.9 AM702),地级,中国,,,,,,新闻综合,综合,,150900,
150900104,广播,乌兰察布交通广播(FM92.3),地级,中国,,,,,,交通音乐,交通,,150900,
652300101,广播,昌吉故事广播(录制频率FM107.4),地级,中国,,,,,,其他,故事,,652300,
440100103,广播,广州汽车音乐广播(FM102.7),地级,中国,,,,,,交通音乐,音乐,,440100,
441200101,广播,肇庆综合广播(FM92.9),地级,中国,,,,,,新闻综合,综合,,441200,
441900101,广播,东莞综合广播阳光1008(FM100.8),地级,中国,,,,,,新闻综合,综合,,441900,
450300101,广播,桂林旅游音乐广播(FM88.3),地级,中国,,,,,,交通音乐,旅游音乐,,450300,
510100105,广播,成都汽车音乐广播,地级,中国,,,,,,交通音乐,汽车音乐,,510100,
630000104,广播,青海藏语广播(FM99.7),省级,中国,,,,,,新闻综合,,少数民族语言,630000,
